"","name","postalCode","stars","avgPerNight","description"
"67","Sveinbjarnargerdi","601 Akureyri","3","$130","Sveinbjargargerdi is well located by highway one in the east part of Eyjafjordur with a beautiful view over the fjord. Our location offers a comfortable way to explore few of our natural beauties such as; Godafoss, Myvatnssveit, Hrisey and Grimsey. "
"68","Hotel Gigur","660 Myvatn","2","$140","Hotel Gígur is situated in one of Iceland's most popular and beautiful tourist attractions, on the southern shore of Lake Mývatn. The hotel has 37 comfortable rooms, all with private bathrooms, 45-minute drive from Húsavík, Iceland's premier whale watching destination."
"69","Hotel Nordurland","600 Akureyri","3","$92","Hotel Norðurland is located in the centre of Akureyri town. Plenty of restaurants, bars, cafes, and shops are in the neighbourhood. The hotel has 34 rooms all equipped with private facilities, refrigerator and satellite TV."
"70","Fosshótel Laugar","650 Laugar","3","$110","Sheltered amid the peaceful rural surroundings of the Reykjadalur valley, stands at the crossroads of northeast Iceland. Fosshotel Laugar is only a short drive away from Akureyri 60 km, Husavik 40 km and Lake Myvatn 30 km."
"71","Fosshotel Husavik","640 Husavik","3","$134","Situated in the heart of Husavik town centre, the whale-themed Fosshotel Husavik offers free parking and guest rooms with satellite TV. The whale watching boats depart from Husavik Harbour, 1 km away."
"72","Hotel Varmahlid","560 Varmahlid","3","$101","Hótel Varmahlíð is a comfortable quality hotel in north Iceland, located by Route 1 in the heart of Skagafjörður. All the rooms have private facilities with a shower and are equipped with a TV, a hairdrier and a telephone."
"73","Brimnes Hotel","625 Olafsfjordur","0","$95","Hotel Brimnes offers accommodation in eleven double rooms with bathrooms. You can also choose to stay in Finnish-style bungalows close to the hotel, all with a hot tub on the veranda. Ólafsfjardar Golf Club is 4 minutes’ drive away,"
"74","Edda Akureyri","600 Akureyri","0","$110","Located in North Iceland’s main town, Akureyri, this budget summer hotel is a short walk from the city centre and the Eyjafjördur Fjord shore. Free parking is offered on site. Free parking is offered on site."
"75","Edda Storutjarnir","641 Husavik","0","$85","Nicely situated in northern Iceland, this hotel offers an outdoor swimming pool and on-site restaurant and bar. Lake Mývatn’s thermal baths and whale watching in Húsavík, are both 30 minutes’ drive away."
"76","Edda Laugarbakki","532 Staðarbakki","0","$100","In Midfjordur, midway between Reykjavik and Akureyri, is Hotel Edda Laugarbakki. Stay close to one of Iceland’s best salmon rivers and the natural hot springs, which heat up the entire community.The hotel restaurant seats 80 guests."
"77","Hotel Herad","700 Egilsstadir","3","$134","Well-equipped, stylish rooms offer a relaxing stay and a great night’s sleep and there’s always the chance for dining, as well as socialising, in our superb restaurant and bar. Our balcony is the perfect place to drink in the unforgettable hues of the midnight sun."
"78","Hotel Hallormstadur","701 Hallormsstadur","3","$192","Beautifully located in a forest area by Lake Lagarfljot, 25 km south of Egilsstadir, is the Hotel Hallormsstadur, close to hiking trails and various recreational opportunities. Guest room and cottage accommodation with a private bathroom and a shower."
"79","Hotel Skaftafell","785 Skaftafell","3","$133","The amazing location of Hotel Skaftafell provides guests with stunning views of Iceland's highest mountain, Hvannadalshnjukur and the largest glacier in Europe, Vatnajökull.The glacier lagoon Jökulsárlón is only 40 minutes drive from the hotel."
"80","Highland Hostel","701 Laugafell","0","$130","On the eastern edge of Vatnajökull National Park in the Icelandic Highlands is this modern hostel has nature baths and a café on-site. Laugarfell Highland Hostel is close to many areas for hiking and fishing.The hostel is 44 km from Atlavík and 73 km from Egilsstadir Airport. "
"81","Edda Egilstadir","700 Egilsstadir","0","$125","Located in the village of Egilsstadir, next to the Lagarfljot River, Hotel Edda offers a river-view restaurant and free internet access in public areas. On-site parking is free. All guest rooms at Hotel Edda Egilsstadir have a private bathroom with shower."
"82","Bragdavellir","765 Djúpivogur","0","$170","Bragdavellir Cottages are located 10 km from Djúpivogur. Free WiFi access is available in all cottages.At Bragdavellir Cottages you will find barbecue facilities and a terrace. An array of activities can be enjoyed in the surroundings.Egilstadir airport is 90 km away."
"83","Fosshotel Eastfjords","750 Fáskrúðsfjordur","3","$117","Opening in 2014, this design hotel is located in Fáskrúdsfjördur village in Iceland’s Eastfjords region. It offers free parking and tastefully decorated rooms with a flat-screen TV and free Wi-Fi access. Reydafjördur village is a 20-minute drive away"
"84","Hotel Framtid","765 Djupivogur","0","$208","Overlooking Djupivogur Harbour, this hotel is 8 km from Búlandstindur Mountain. It offers local seafood specialities, a bar and free private parking. Djupivogur Swimming Pool and Spa is just 150 metres away. Egilsstadir Airport is 1.5 hours’ drive away."
"85","Hotel Ranga","851 Hella","4","$310","Hotel Rangá is a four star countryside resort located in the middle of South Icelands beautiful scenery. Close to all activities the hotel offers excellent dining, 27 luxurious rooms, 2 hot tubs, meeting facilities and personal service to accommodate all the needs of the traveler in the area."
"86","Hotel Dyrholaey","871 Vik","3","$134","Accommodation in 55 rooms, all with private facilities. Ideal for sightseeing in the South, Dyrhóley birdwatcher’s paradise – 3 km. This hotel is in southern Iceland, 9 km from Vík í Myrdal. It offers free public area Wi-Fi and rooms with magnificent views of Mýrdalsjökull Glacie and the Atlantic Ocean."
"87","Hotel Highland","851 Hella","0","$150","Hrauneyjar is a short distance from many of the most beautiful and popular tourist attractions in the highlands. A paradise for those who wish to come in contact with the powerful forces of untamed Icelandic nature. Free parking places are available, and guests can also use the on-site helicopter pad."
"88","Hotel Ork","810 Hveragerdi","3","$117","Hotel Örk is a country hotel located in Hveragerdi, a small village often called Iceland´s ""Health village"". It is only 45km from Reykjavik. A first class hotel with all the comforts and services you would expect to find in a city, but conveniently situated in an exciting natural environment."
"89","Hotel Klaustur","880 Kirkjubaejarklaustri","3","$134","This perfect three-star accommodation offers a range of rooms and facilities for the comfort of every traveller and a restaurant to feast not only your taste buds but also your eyes with its spectacular sea view."
"90","Hotel Fludir","845 Fludir","3","$160","In South Iceland, just an hour’s drive from the capital city, Hotel Fludir offers quality three-star accommodation in a modern, one-storey building.The staff can help arrange activities like fishing and hiking trips."
"91","Hotel Hvolsvollur","860 Hvolsvollur","3","$134","Hotel Hvolsvollur is a beautiful hotel situated in Hvolsvollur, in the southern part of Iceland. The hotel offers great accommodation with fully furnished and equipped rooms and a beautiful sceinery. Experience Iceland's nature."
"92","Fosstun Apartment","800 Selfoss","3","$150","Hótel Fosstún apartments is located in Selfoss 54km from Reykjavík. We offer 28 double apartments, 4 family apartments. 4 apartments are specially designed for wheelchair users. Free parking spaces are found on site."
"93","Hotel Selfoss","800 Selfoss","4","$160","Situated by River Ölfus in Selfoss, Hotel Selfoss has a cinema and a spa area. All rooms have a seating area, satellite TV and private bathroom with bathtub or shower. Wi-Fi is free. Svarfhólsvöllur Golf Club is 2 km away."
"94","Hotel Hofn","780 Hofn","3","$168","Situated in south-eastern Iceland, in the coastal town of Höfn, this hotel offers local cuisine and modern en-suite rooms with a flat-screen TV. Guests can enjoy free Wi-Fi and free private parking.Staff can help organise hiking trips."
"95","Hotel Geysir","801 Haukadalur","3","$134","Hotel Geysir is on Route 35, right next to the world famous Geysir hot spring in Iceland’s Haukadalur Valley. It offers free Wi-Fi, a geothermal swimming pool and hot tubs. Gullfoss is a 10-minute drive from the hotel. "
"96","Hotel Leirubakki","851 Hella","0","$118","At Leirubakki in the Landsveit area, you will find comprehensive services for tourists. The hotel and restaurant are open all year round and serves traditional Icelandic cuisine and there is also a campsite, a fuel station and a small shop."
"97","Guesthouse Hamar","900 Vestmannaeyjar","0","$100","This family-run guest house is set on the island of Heimaey in the Westman Islands archipelago. The guesthouse located right in the middle of town. There are 14 rooms equipped with bathrooms, showers and television."
"98","Edda IKI Laugavatn","840 Laugavatn","0","$167","Rural hotel sharing the same attractions as its village neighbour – the ML Laugarvatn – but is built on a much smaller and more intimate scale in a picturesque lakeside setting.Staff can recommend great local activity."
"99","Stracta Hotel Hella","850 Hella","0","$100","This hotel is located along the Golden Circle in the south-western town of Hella. It offers free WiFi, modern accommodation, a restaurant and bar. Gullfoss Waterfall, the Great Geysir and Thingvellir are all near the property."
"100","Hotel Edda Vík","870 Vík","0","$168","This hotel is found in Vík í Mýrdal, only 5 minutes’ walk from Vík’s black sand beach. Its rooms offer views of the Atlantic Ocean and the Vík Mountains. Edda Vík is just off Iceland’s Ring Road. On-site parking is free for guests."
"101","Hotel Edda Skogar","861 Hvolsvollur","0","$150","Located 50 km outside Hvolsvöllur, this hotel offers basic accommodation and hearty, traditional Icelandic food. It is 5 minutes' walk from Skógafoss Waterfall. Parking is free."
"102","Hotel Jökull","781 Nesjum","0","$150","Just 5 minutes’ drive from Höfn in south-east Iceland, this hotel is found along Route 1, close to the country’s largest glacier, Vatnajökull. Scenic views and on-site restaurant."
"103","Arnanes Guesthouse","781 Höfn","0","$117","This family-run guest house, off the Ring Road in southeast Iceland, is 6 km from Höfn. It offers free Wi-Fi and free use of bicycles. Guests can enjoy free tea and coffee."
"104","Edda ML Laugarvatn","840 Laugarvatn","0","$100","The hotel offers comfortable accommodation at good value prices, deep in the heart of the countryside of south Iceland. Easy reach of many of the principal attractions of the region."
